카드사,상품명,전월실적,연회비(국내),연회비(국내외),모든가맹점,교통,주유,마트/편의점,쇼핑,푸드,배달,카페/디저트,뷰티/피트니스,생활요금,의료,애완동물,자동차/하이패스,레져/스포츠,영화/문화,간편결제,항공,프리미엄,여행/숙박,해외,디지털구독,멤버십,교육/육아,금융,기타
현대,PlayStation® - 현대카드M,0,2,2,,,,,,,,,,,,,,,1,,,,,,,,,,
현대,미래에셋 현대카드 Diamond,50,50,50,,,,,1,,,,,,,,,,,,,1,,,,,,,
현대,Hyundai Mobilty카드(상용차),30,3,3,1,,1,,,,,,,,,,1,,,,,,,,,1,,,
현대,미래에셋 현대카드 Silver,50,3,3,,,,1,1,,1,1,,,,,,,,,,,,,1,1,,,
현대,Kia Members 전기차 신용카드,50,3,3,,,1,1,,1,,,,,,,1,1,1,,,,,,,,,1,
현대,산림조합-현대카드M(청구할인형),0,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,
현대,인플카 현대카드,40,1,1,,1,,1,,,1,,,1,,,,,,,,1,,,,,,,
현대,현대카드M CHECK,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
현대,현대카드M HYBRID,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,
현대,현대카드X CHECK,0,0.2,,1,,,,,,,,,,,,,,,,,,,,,,,,
현대,SC제일은행-현대카드 X CHECK,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
현대,SC제일은행-현대카드 M CHECK,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,
현대,현대카드M CHECK-경차전용카드(유류세 환급),0,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,
현대,현대카드X HYBRID,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,
KB국민카드,KB국민 My WE:SH 카드,40,1.5,1.5,,1,,,,1,1,1,1,1,,,,1,1,1,,,,,1,,,,
KB국민카드,다담카드,30,1.5,2,,1,1,1,1,1,,1,,1,,,,1,1,,,,,1,,,1,,
KB국민카드,Easy all 티타늄카드,50,3,3,,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,,1,1,,1,,
KB국민카드,굿데이올림카드,30,1.5,2,,1,1,1,,1,,1,,1,,,,1,,,,,,1,,,1,,
KB국민카드,BeV V카드(스카이패스형),50,29.5,30,,,,,,,,,,,,,,,,,1,1,,,,,,,
KB국민카드,청춘대로 톡톡카드,30,1,1.2,,1,,,,1,,1,,1,,,,,,1,,,,,,,,,
KB국민카드,BeV V카드(포인트형),50,29.5,30,1,,,,,,,,,,,,,,,,,1,,,,,,,
KB국민카드,BeV Ⅲ 카드,50,20,21,1,,1,,,,,,,,,,,,,,,1,,,,,,,
KB국민카드,FINETECH카드(대한항공),,2,2.5,,,,,,,,,,,,,,,,1,1,,,,,,,,
KB국민카드,가온글로벌카드,,1.5,2,1,,,,1,,,,,,,,,,,,,,1,1,,,,,
KB국민카드,가온올림카드(실속형),,1.5,1.5,1,1,,,,1,,,,1,,,,1,1,,,,,1,,,,,
KB국민카드,알뜰교통플러스 카드,30,0.8,0.8,,1,,1,,,,1,,1,1,,,,1,1,,,,,,,,,
KB국민카드,톡톡O 카드,30,1.2,1.2,,1,,1,,,,,,,,,,,,1,,,,,1,,,,
KB국민카드,KB국민 WE:SH All카드,40,2,2,1,,,,1,,,,,1,,,,,,,,,,1,1,,,,
KB국민카드,쿠팡 와우 카드,,2,2,1,,,,1,,1,,,,,,,,,,,,,,1,,,,
KB국민카드,FINETECH카드(아시아나),,2,2.5,,,,,,,,,,,,,,,,1,1,,,,,,,,
KB국민카드,톡톡 my point카드,,1.2,1.2,1,,,,,,,,,,,,,,,1,,,,,,,,,
KB국민카드,금융포인트리카드,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,
KB국민카드,The Easy카드,,1.5,1.5,1,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,
KB국민카드,Easy pick 티타늄 카드,50,3,3,,1,1,1,1,,1,1,1,1,,,1,1,1,1,,1,,,,,1,,
KB국민카드,톡톡D 카드,30,1.2,1.2,,1,,1,,,1,,,,,,,,,1,,,,,,,,,
KB국민카드,Easy link 티타늄카드,50,3,3.2,,1,1,1,1,,,,1,1,1,,,1,1,,,1,1,,1,,,,
KB국민카드,톡톡 Pay카드,40,2,2,,1,,1,,,,,,,,,,,,1,,,,,,,,,
KB국민카드,톡톡 my living카드,30,1.2,1.2,,,,1,1,,,,,1,,,,,,1,,,,,,,1,,
KB국민카드,스카이패스 티타늄 카드,,4.5,4.5,1,,,,1,,,,,,,,,,,,1,1,1,1,,,,,
KB국민카드,굿데이카드,30,0.5,1,,1,1,1,,1,,1,1,1,1,,,,,,,,,,,,1,,
KB국민카드,The CJ KB국민카드,,0.5,1,,,,,1,1,,,1,,,,,,1,,,,,,,,,,
KB국민카드,HERITAGE Smart [대한항공 마일리지형],50,20,20,1,,,,,,,,,,,,,,,1,,1,,,,,,1,
KB국민카드,알파원카드,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
KB국민카드,탄탄대로 Biz 카드,40,1.5,1.5,,,1,1,1,,,,,1,,,,,,,,,,,,,,,
KB국민카드,카카오뱅크 KB국민카드,50,1.5,1.5,,,,1,,1,,,,,,,,1,1,1,,,1,,,,,,
KB국민카드,Easy fly 티타늄카드,50,3.5,3.5,1,1,,,,,,1,,,,,,,1,,,1,1,,,,,,
KB국민카드,톡톡F 카드,30,1.2,1.2,,1,,1,1,,,,,,,,,,,1,,,,,,,,,
KB국민카드,HERITAGE Smart [할인형],50,20,20,1,1,1,,1,,,1,,,,,,1,,,,1,,,,,,1,
KB국민카드,톡톡M 카드,30,1.2,1.2,,1,,1,,,,,,,,,,,,1,,,,,1,,,,
KB국민카드,아시아나 올림카드,,2.8,3,,,,,,,,,,,,,,,,,1,,,,,,,,
KB국민카드,KB국민 국민행복카드,40,,,,,,1,1,,,,,1,1,,,,,,,1,,,,,1,,
KB국민카드,아시아나항공 KB국민카드,,1.3,1.5,,,,,,,,,,,,,,,,,1,,,,,,,,
KB국민카드,Liiv M Ⅱ 카드,30,1.5,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,
KB국민카드,와이즈카드,,0.5,1,1,,1,1,1,1,,,,1,1,,,1,,,,,,,,,1,,
KB국민카드,Easy shopping 티타늄카드,50,3,3,,,,1,1,,1,,,1,,,,,,1,,1,,,,,,,
KB국민카드,스카이패스 KB국민카드,,,1.5,,,,,,,,,,,,,,,,,1,,,,,,,,
KB국민카드,KB국민 Our WE:SH 카드,40,1.5,1.5,,,,1,1,,1,,,1,1,,,,1,,,,,,,,,,
KB국민카드,KB차차차 신용카드,40,3,3,,,1,,,,,,,,,,1,,,,,,,,,,,,
KB국민카드,톡톡 with카드,40,1.2,1.2,,1,,,,,1,1,,,,,,,,1,,,,,1,,,,
KB국민카드,HERITAGE Reserve(스카이패스형),,80,80,,,,,,,,,,,,,,,,,1,1,,,,,,,
KB국민카드,마일리지 가온카드(대한항공),,1.5,2,,,,,,,,,,,,,,,,,1,,,,,,,,
KB국민카드,toss KB국민카드,,2,2,1,,,,,,,1,,,,,,,,,,,,,,,,,
KB국민카드,Easy all 카드,50,2,2,,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,,1,1,,1,,
KB국민카드,마일리지 가온카드(아시아나),,1.5,2,,,,,,,,,,,,,,,,,1,,,,,,,,
KB국민카드,SK에너지 러브유 KB국민카드,30,0.7,1.2,,1,1,,,,,,,,,,1,,,,,,,,,,,,
KB국민카드,GS행복가득카드,30,0.7,1.2,,1,1,,,,,,,,,,1,,,,,,,,,1,,,
KB국민카드,Liiv M 카드,50,2,2,,,,,,,,,,1,,,,,,,,1,,,,,,,
KB국민카드,BeV Ⅸ 토탈마일 카드,,,100,,,,,,,,,,,,,,,,,1,1,,,,,,,
KB국민카드,Easy on카드,50,2,2,,1,,1,1,1,1,1,,1,,,,,,1,,,1,,1,,,,
KB국민카드,알뜰폰 Hub 카드,50,2,2,,,,,,,,,,1,,,,,,,,1,,,,,,,
KB국민카드,e hi-pass 카드(현대차),,0.2,,,,,,,,,,,,,,1,,,,,,,,,1,,,
KB국민카드,Easy study 티타늄카드,50,3.5,3.5,,,,1,,1,,,1,1,,,,,,,,1,,,,,1,,
KB국민카드,T-economy KB국민카드,30,1.5,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,
KB국민카드,kt M mobile카드,30,,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,
KB국민카드,SK LPG SAVE KB국민카드,30,0.3,0.5,,,1,,,1,,,,,,,1,,,,,,,,,,,,1
KB국민카드,H.Point KB국민카드,,,1.2,1,,1,1,1,1,,1,1,,1,,,1,1,,,,,,,,1,,
KB국민카드,KB국민 펫코노미 카드,30,3,3,,,,1,,,,,,,,1,,,,,,,,,,,,,
KB국민카드,가온 Biz카드,50,,1.5,1,,1,,,,,,,1,,,,,,,,,,,,,,,
KB국민카드,알뜰폰 Hub Ⅱ 카드,30,1.5,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,
KB국민카드,Clip카드,30,,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,
KB국민카드,S-OIL LPG KB국민카드,30,0.5,1,,,1,,,1,,,,,,,1,,1,,,,,,,,,,1
KB국민카드,HERITAGE Exclusive,,200,200,1,,,,,,,,,,,,,,,,,1,,,,,,,
KB국민카드,HERITAGE Reserve(포인트형),,80,80,1,,,,,,,,,,,,,,,,,1,,,,,,,
KB국민카드,Easy pick카드,50,2,2,,1,1,1,1,,1,1,,1,,,,,1,1,,,,,,,,,
KB국민카드,톡톡 구독카드,40,3,3,,,,,,,,,,,,,,,,,,,,,1,,,,
KB국민카드,Easy shopping 카드,50,1.5,1.5,,,,1,1,,1,,,1,,,,,,1,,,,,,,,,
KB국민카드,삼성페이 KB국민카드,40,,1.5,,,,1,,1,,1,,1,1,,,,1,1,,,,,,,,,
KB국민카드,제주항공 Refresh Point KB국민카드,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,
KB국민카드,탄탄대로 웰컴카드,30,,1.5,,1,,1,1,,,,,1,,,,1,1,,,,,,,,,,
KB국민카드,EVO 티타늄카드,50,3,3,,,1,1,1,,,,,,,,,,,,,1,,,,,,,
KB국민카드,골든라이프올림카드,30,1.5,2,,1,1,1,,1,,,,1,1,1,,1,,,,,1,1,,,,,
KB국민카드,모바일101카드,20,,0.1,,1,,,1,,,,,1,,,,,,1,,,,,,,,,
KB국민카드,E1 LPG KB국민카드,50,,2,,1,1,,1,1,,,,,,,,1,1,,,,,,,,,,
KB국민카드,Easy auto 티타늄카드,50,3,3,1,,1,1,,,,1,,,,,1,,1,,,1,,,,,,,
KB국민카드,에듀카드,100,,3.5,,,,,,,,,,,1,,,,,,,,,,,,1,,
KB국민카드,이마트II KB국민카드(옐로우),50,1.5,1.5,,,1,1,,1,,1,1,,1,,,1,,,,,,,1,,1,,
KB국민카드,Green Wave 1.5℃카드,40,1.5,1.5,,,,,1,,,,,,,,1,,,,,,,,1,,,,
KB국민카드,LG전자 KB국민카드,30,,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,1
KB국민카드,레고랜드카드,40,2,2,,,,1,1,1,1,1,,,,,,1,,1,,,,1,,,1,,
KB국민카드,마이핏카드(할인형),30,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
KB국민카드,에버랜드 판다카드,30,1.2,1.7,,,,,,1,,,,,,,,1,,,,,,,,,,,
KB국민카드,Easy ring 티타늄카드,50,3,3,,,1,1,1,,1,1,,1,,,,,1,,,1,,,1,,,,
KB국민카드,KMVNO 알뜰폰 카드,30,1.5,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,
KB국민카드,가온 워킹업카드,,,1.5,1,,,,,,,,,,,,,,,,,,,1,,,,,
KB국민카드,넥센타이어 KB국민카드,30,1.2,1.4,,,,,,,,,,,,,1,1,1,,,,,,,,,,
KB국민카드,마이핏카드(적립형),50,3,3,,1,,1,1,,1,,,,,,,,,1,,,,,,,,,
KB국민카드,GS SHOP KB국민카드,40,2.5,2.5,,1,,1,1,,,1,1,1,,,,1,,,,,,,,,,,
KB국민카드,KB Pay 챌린지+카드,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
KB국민카드,KB Pay 챌린지카드,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
KB국민카드,랭킹닭컴 신용카드,30,1.5,1.5,,,,,1,,,,,,,,,1,,,,,,,1,,,,
KB국민카드,CHALLENGE BAG KB국민카드,40,,1.5,1,,1,1,1,1,,1,1,,1,,,1,,,,,,,,,1,,
KB국민카드,U＋ 알뜰모바일카드,30,,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,
KB국민카드,반려愛카드(강아지),30,,0.8,,,,1,1,,,,,,,1,,,,,,,,,,,,,
KB국민카드,요기패스 신용카드,30,1.5,1.5,,,,1,,1,,1,1,,,,,,,,,,,,1,,,,
KB국민카드,TMAP KB국민카드,40,1.5,1.5,,,1,,,1,,,,,,,1,,,,,,,,1,,,,
KB국민카드,레고랜드매니아카드,40,10,10,,,,1,1,,1,,,,,,,1,,1,,1,,1,1,,,,
KB국민카드,해피포인트 해피리워드 카드,30,1.5,1.5,1,,,,,,,,1,,1,,,1,,,,,,,1,,1,,
KB국민카드,SK 7mobile카드,30,,1.5,,,,,,,,,,1,,,,,,,,,,,,,,,
KB국민카드,커피빈 신용카드,50,2,2,,,1,1,,1,,1,1,,1,,,1,,,,,,,,,1,,
KB국민카드,LFmall 신용카드,,1.5,1.5,1,,,,1,,,,,,,,,,,,,,,,,,,,
KB국민카드,wavve카드,30,1.5,1.5,,,,1,,,1,1,1,,,,,1,,,,,,,1,,,,
KB국민카드,갤러리아 KB국민카드,50,1.5,1.5,,,,,1,,,,,,,,,,,,,,,,,1,,,
KB국민카드,모두투어 투어마일리지 KB국민카드,,,1.5,,,,,,1,,1,,,,,,,1,,,,1,,,,,,
KB국민카드,AK KB국민카드,30,,1.2,,,,,1,1,,1,1,,,,,1,1,,1,,,,,,1,,
KB국민카드,웅진씽크빅 카드,30,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,1,,
KB국민카드,위메프페이 신용카드,,2,2,,,,1,1,1,,1,1,,,,,1,,,,,,,,,,,
KB국민카드,KB국민 윙크카드,50,2,2,,,,,,,,,,,,,,,,,,1,,,,,,,
롯데,LOCA 365 카드,50,2,2,,1,,,,,1,,,1,1,,,,,,,,,,1,,1,,1
롯데,LOCA LIKIT 1.2,0,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
롯데,롯데백화점 롯데카드,30,1,1.5,,,,,1,,,,,,,,,,,,,,,,,1,,,1
롯데,LOCA LIKIT Play,40,1,1,,,1,,,,,,,,,,,,1,,,,,,1,,,,
롯데,LOCA LIKIT Eat,40,1,1,,,,,,1,1,1,,,,,,,,,,,,,1,,,,
롯데,SKYPASS 롯데 아멕스카드,0,,2,,,,,,,,,,,,,,,,,1,,,,,,,,
롯데,LOCA LIKIT Shop,40,1,1,,,,1,1,,,,1,,,,,,,,,,,,1,,,,
롯데,LOCA Mobility 반띵 카드,40,1.7,1.7,,1,,,1,,,1,1,,,,,,,,,,,,1,,,,
롯데,LOCA 나누기 카드,0,2,2,,,,,,,,,,,,,,,,,,,,,,1,,,1
롯데,I’m YOLO 플래티넘,50,4.8,5,,,,,,,,,,,,,,,,,1,1,,,,,,,
롯데,LOCA LIKIT - Manhattan Yellow,40,1,1,,1,,,,,1,1,,1,,,,,1,,,,,,,,,,
롯데,LOCA CLASSIC,150,2,2,1,1,1,1,1,,1,1,,,1,,1,,1,,,,,,,,,,
롯데,네이버페이 플래티넘 롯데카드,0,1.5,1.5,,,,,,,,,,,,,,,,,,1,,,,,,,
롯데,카카오뱅크 롯데카드,0,1.5,1.5,1,,,,,,,,,,,,,,,,,1,,,,,,,
롯데,롯데 국민행복카드,30,,,,1,,,1,,,,,1,1,,,,,,,,,,,,1,,
롯데,롯데포인트 플러스 카드,0,0.5,0.5,,,1,,1,1,,,1,,,,,1,,,,,,,,,,,1
롯데,아멕스 플래티넘 아시아나클럽 롯데카드,50,5.5,5.5,,,,,,,,,,,,,,,,,1,,,,,1,,,
롯데,Mobile x LOCA 롯데카드,40,2,2,1,,,,,,,,,1,,,,,,,,,,,,1,,,
롯데,E1 LPG 롯데카드,30,1.5,,,,1,,1,1,,,,,,,1,1,1,,,,,,,1,,,
롯데,LOCA MONEY,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,
롯데,네이버페이 쇼핑엔로카,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1
롯데,롯데마트&MAXX 카드,0,1.8,2,,,1,1,,,,,,1,1,1,,,,,,,,,1,,1,,
롯데,LOCA LIKIT - New York Blue,40,1,1,,1,,,,,1,1,,1,,,,,1,,,,,,,,,,
롯데,LOCA for Shopping,150,2,2,,,,1,1,,,,,,,,,,,,,,,,,,,,
롯데,New PAYCO 롯데카드,0,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
롯데,롯데백화점 FLEX카드,50,10,10,1,,,,1,,,1,,,,,,,,,,1,,,1,,,,
롯데,아시아나 듀얼마일리지 롯데카드,0,4.3,4.5,,,,,,,,,,,,,,,,,1,,,,,,,,
롯데,LOCA for 롯데마트,0,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,
롯데,케이뱅크 롯데카드,0,1.5,1.5,1,1,,,,,1,1,,,,,,,,1,,1,,,1,,,,
롯데,LOCA X 구독,30,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,1
롯데,샤롯데 플래티넘 스타 카드,0,,3.5,,,1,,1,1,,1,1,,,,,1,1,,,1,1,,,,,,
롯데,아시아나클럽 롯데 플래티넘 카드,0,,12,,,,,,,,,,,,,,,,,1,1,,,,,,,
롯데,LOTTE ONers 롯데카드,30,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,1,,,
롯데,LOCA PLATINUM 마일리지형,0,10,10,,,,,,,,,,,,,,,,,1,1,1,,,,,,
롯데,롤라카드,40,1.5,1.5,,,1,1,1,,,1,1,,1,,1,1,1,,,,,1,,,1,1,
롯데,하나은행 밀리언달러 카드,0,1.5,1.5,1,,,,1,,1,,,,,,,,,,,,,1,1,,,,
롯데,나무 롯데카드,0,2,2,1,1,,,,,,1,,,,,,,,,,1,,,1,,,,
롯데,LOCA 100,75,2,2,1,,,,,,,,,,,,,,,,,1,,,,,,,
롯데,LOCA 100 Life,75,2,2,,,1,,,,,,,1,1,,,,,,,,,,,,,,1
롯데,LOCA PLATINUM 할인형,150,10,10,1,,,,,,,,,,,,,,,,,1,1,,,,,,
롯데,롯데아울렛 롯데카드,0,1,1.5,,,,,1,1,,,1,,,,,1,1,,,,1,,,,,,
롯데,Trip to 로카,0,2,2,1,,,,,,,,,,,,,,,,,,,1,,,,,
롯데,경차 smart 롯데카드,30,,,,1,1,,1,1,,,1,,,,1,1,1,,,,,,,,,,
롯데,골프존 롯데카드,40,1,1.5,,,,,1,1,,,1,,,,,1,1,,,,,,,1,,,
롯데,L.CLASS L60 (L.POINT형),0,59.5,60,1,,,,,,,,,,,,,,,,,1,,,,,,,
롯데,LOCA for Edu,150,2,2,,,,,,,,,,,,,,,1,,,,,,,,1,,
롯데,롯데마트 롯데카드,20,1,1.5,,,,,1,1,,,1,,,,,1,1,,,,,,,,,,1
롯데,Happy 디지털카드,30,1.5,1.5,1,1,,1,,,,,,,,,,,,,,1,,,,1,1,,
롯데,L.pay 롯데카드 Ⅱ,30,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,
롯데,세븐일레븐 멤버쉽롯데카드,0,0.5,,,,1,1,1,1,,,1,,,,,1,1,,,,1,,,1,,,1
롯데,Flex카드 몽블랑 에디션,50,10,10,1,,,,1,,,1,,,,,,,,,,,,,1,1,,,
롯데,GS&POINT 롯데카드,40,1.5,1.5,,,,,1,,,,,,,,,,,,,,,,,1,,,
롯데,LOCA CLASSIC 롯데마트,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,
롯데,뉴GS칼텍스 롯데카드,0,0.5,1,,,1,,1,1,,,1,,,,,1,1,,,,,,,,,,
롯데,위메프페이 롯데카드,0,2,2,,,,,1,,,,,,,,,,,,,1,,,,1,,,
롯데,Kakaopage 롯데카드,0,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,1,,,1
롯데,L.CLASS L60 (아시아나클럽형),0,59.5,60,,,,,,,,,,,,,,,,,1,1,,,,,,,
롯데,삼성페이 롯데카드,30,0.5,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,
롯데,L.CLASS L60 (스카이패스형),0,59.5,60,,,,,,,,,,,,,,,,,1,1,,,,,,,
롯데,LOCA for Health,150,2,2,,1,,,1,,,,,,1,,,,,,,,,,,,,,
롯데,MY RENTAL+ 롯데카드,50,1.5,1.8,,,1,,,,,,,1,,,1,,,,,,,,,,,,
롯데,e플래티넘 롯데카드,50,1.8,2,,1,,1,,1,,1,,,,,,,,1,,1,,,,,,,
롯데,LOCA for Auto,150,2,2,,,1,1,,,1,,,,,,1,,,,,,,,,,,,
롯데,LOCA for Coffee,150,2,2,,1,,,1,,1,1,,,,,,,,,,,,,1,,,,
롯데,Jin Air - 롯데카드,30,0.5,0.6,,,,,1,1,,1,,,,,,1,1,,,,1,1,,1,,,
롯데,뱅크샐러드 빨대카드,50,2,2,,,,1,,,1,1,,,,,,,,,,,,,1,1,,,
롯데,캐롯손해보험 롯데카드,30,2,2,,,,,,,,,,,,,1,,,,,,,,,1,,,
롯데,LOCA in MEGACITY,150,2,2,,,,,1,,,,,,,,,1,,,,,,,,,,,
롯데,이랜드리테일 롯데카드,0,1,1.5,,,,1,1,,,,,,,,,,,,,,,,,1,,,1
우리,DA@카드의정석,,0.5,1,1,1,1,1,1,1,,1,1,1,1,,,,1,,1,,1,,,,1,,
우리,카드의정석 EVERY 1,,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
우리,트래블월렛 우리카드,,2,2,,,,,,,,,,,,,,,,,,,,1,,,,,
우리,카드의정석 EVERY MILE SKYPASS,,,3.9,,,,,,,,,,,,,,,,,1,,,1,,,,,
우리,카드의정석 WOWRI,30,1,1.2,,,,,,,,,,,,,,,,1,,,,,,,,,
우리,카드의정석 EVERY 1 (망그러진곰 Edition),,1.2,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,
우리,카드의정석 SHOPPING,30,1,1.2,,,1,,1,,,1,,,,,,,,1,,,,,,,,1,
우리,카드의정석 PREMIUM MILEAGE(SKYPASS),50,13.5,13.5,,,1,,,,,,,,,,,,,,1,1,,,,,,,
우리,알뜰교통카드,30,1.3,1.5,,1,,1,,,,1,,1,1,,,1,,1,,,,,,,1,,
우리,D4@카드의정석,30,0.9,1,,1,,1,,,,1,,,,,,,1,,,,,,,,,,
우리,로얄블루1000카드 [SKYPASS],,,100,,,1,,1,,,,,,,,,1,,,1,1,1,,,,,,
우리,SKT 우리카드,30,,1,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
우리,카드의정석 NEW우리V카드,30,0.2,0.5,,,1,1,1,1,,1,,,,,,,,,,1,,,,,,1,1
우리,카드의정석 UNTACT AIR,50,1.5,1.5,,,,,,,1,,,1,,,,,1,1,,,,1,1,,1,,
우리,카드의정석 UniMile,30,2,2,1,,1,,1,,,1,,,,,1,,,,1,1,1,1,,,,,
우리,카드의정석 MILEAGE SKYPASS,50,3.9,3.9,,,,,,,,,,,,,,,,,1,,,,,,,,
우리,카드의정석 PREMIUM POINT,,11,11,,,1,,,,,,,,,,,,,,1,1,,,,,,,
우리,Diners Club MILEAGE,,,33,,,,,,,,,,,,,,,,,1,1,,1,,,,,
우리,그랑블루 1st,,10,10,,,1,,1,,,,,1,1,,,,,,,1,1,1,,,,,
우리,NU I&U,30,1.2,1.2,,1,1,,,,,1,,,,,,,,,,,,,,,,,
우리,카드의정석 APT Platinum,40,2.9,2.9,,,,,,,,,,1,,,,,,,,1,,,1,,1,,
우리,카드의정석 댕댕냥이(강아지),30,1,1.2,,,1,1,1,,,1,,,,1,,,,1,1,,,1,,,,,
우리,NU Uniq point,30,2,2,,1,1,,1,,1,1,,1,,,,,,,,,,,1,,,,
우리,NU Uniq,40,2,2,1,1,1,1,1,,1,1,,,,,1,,,,,,,,1,,,,
우리,국민행복카드 S2,30,,,,,,,1,,,,,1,1,,,,,,,,1,1,1,,1,,
우리,카드의정석 PREMIUM MILEAGE(AsianaClub),50,13.5,13.5,,,1,,,,,,,,,,,,,,1,1,,,,,,,
우리,Diners Club POINT,,,30,,1,,,,,,,,,,,,1,,,1,1,,1,,,,,
우리,카드의정석 UNTACT PLATINUM,40,2.5,2.5,,,,,,,,,,,,,,,,1,1,,,1,1,,,,
우리,OK캐쉬백 위비할인카드,30,1,1.2,,1,1,1,1,1,,1,,1,1,,,1,1,,,,,,,,,,1
우리,카드의정석 APT,40,1.5,1.5,,,,,,,,,,1,,,,,,,,,,,1,,,,
우리,카드의정석 UNTACT,40,1.2,1.2,,,,,,,,,,1,,,,,1,,,,,1,1,,1,,
우리,카드의정석 HEROES,30,1,1.2,,1,1,1,1,,,1,,1,,,,,1,1,,,,1,,,,,
